link,tags,diff,submission
https://codeforces.com/problemset/problem/1985/E,"brute force, combinatorics, math",1200.0, x19648
https://codeforces.com/problemset/problem/1985/D,"implementation, math",900.0, x33818
https://codeforces.com/problemset/problem/1985/C,greedy,1000.0, x31684
https://codeforces.com/problemset/problem/1985/B,"brute force, math, number theory",800.0, x45234
https://codeforces.com/problemset/problem/1985/A,"implementation, strings",800.0, x52193
https://codeforces.com/problemset/problem/1984/H,"combinatorics, dp, geometry",3300.0, x165
https://codeforces.com/problemset/problem/1984/G,"constructive algorithms, implementation, sortings",3200.0, x254
https://codeforces.com/problemset/problem/1984/F,"brute force, dp, math",2500.0, x920
https://codeforces.com/problemset/problem/1984/E,"dp, greedy, trees",2400.0, x1369
https://codeforces.com/problemset/problem/1984/D,"brute force, hashing, implementation, math, string suffix structures, strings",2000.0, x3189
https://codeforces.com/problemset/problem/1984/C2,"combinatorics, dp, greedy, math",1700.0, x7240
https://codeforces.com/problemset/problem/1984/C1,"dp, greedy, math",1300.0, x16300
https://codeforces.com/problemset/problem/1984/B,"implementation, math",1100.0, x17990
https://codeforces.com/problemset/problem/1984/A,constructive algorithms,800.0, x20781
https://codeforces.com/problemset/problem/1983/G,"bitmasks, brute force, dp, trees",3000.0, x207
https://codeforces.com/problemset/problem/1983/F,"binary search, bitmasks, data structures, greedy, two pointers",2500.0, x1164
https://codeforces.com/problemset/problem/1983/E,"combinatorics, math, probabilities",2300.0, x1960
https://codeforces.com/problemset/problem/1983/D,"constructive algorithms, data structures, divide and conquer, greedy, math, sortings",1700.0, x8035
https://codeforces.com/problemset/problem/1983/C,"binary search, brute force, greedy, implementation",1400.0, x12327
https://codeforces.com/problemset/problem/1983/B,"constructive algorithms, greedy, implementation, math",1200.0, x15846
https://codeforces.com/problemset/problem/1983/A,"constructive algorithms, math",800.0, x25263
https://codeforces.com/problemset/problem/1982/F,"binary search, data structures, sortings",2600.0, x924
https://codeforces.com/problemset/problem/1982/E,"bitmasks, brute force, combinatorics, divide and conquer, dp, math, meet-in-the-middle",2300.0, x1553
https://codeforces.com/problemset/problem/1982/D,"brute force, data structures, implementation, math, number theory",1700.0, x7024
https://codeforces.com/problemset/problem/1982/C,"binary search, data structures, dp, greedy, two pointers",1200.0, x17209
https://codeforces.com/problemset/problem/1982/B,"brute force, implementation, math, number theory",1200.0, x16672
https://codeforces.com/problemset/problem/1982/A,"greedy, implementation, math, sortings",800.0, x24711
https://codeforces.com/problemset/problem/1981/F,"data structures, dp, trees",3000.0, x254
https://codeforces.com/problemset/problem/1981/E,"data structures, dsu, graphs, greedy",2600.0, x834
https://codeforces.com/problemset/problem/1981/D,"constructive algorithms, dfs and similar, graphs, number theory",2400.0, x1608
https://codeforces.com/problemset/problem/1981/C,"bitmasks, brute force, constructive algorithms, greedy, implementation, math",1800.0, x5212
